filename,width,height,class,xmin,ymin,xmax,ymax
1655.jpeg,273,184,Dent,173,64,244,165
1133.jpeg,275,184,Broken-glass,97,74,167,131
1866.jpeg,259,194,Smashed,27,71,183,176
1872.jpeg,275,183,Smashed,119,56,199,106
1682.jpeg,259,194,Dent,47,55,189,140
1682.jpeg,259,194,Scratch,159,101,188,148
1696.jpeg,300,168,Scratch,158,103,168,114
1696.jpeg,300,168,Scratch,97,89,123,94
1319.jpeg,259,194,Scratch,60,57,91,114
1319.jpeg,259,194,Scratch,123,49,141,65
1319.jpeg,259,194,Scratch,71,138,81,150
1443.jpeg,259,194,Dent,25,88,152,128
1325.jpeg,276,183,Dent,83,114,140,171
1325.jpeg,276,183,Scratch,186,70,199,82
1331.jpeg,259,194,Dent,111,101,180,165
1331.jpeg,259,194,Dent,90,95,123,117
1331.jpeg,259,194,Dent,183,115,212,163
1457.jpeg,259,194,Dent,25,76,121,159
1480.jpeg,1024,1024,Dent,111,291,527,688
1480.jpeg,1024,1024,Dent,568,729,798,963
1494.jpeg,259,194,Dent,12,113,150,161
1494.jpeg,259,194,Dent,113,75,164,110
1494.jpeg,259,194,Scratch,197,114,217,127
1482.jpeg,300,168,Scratch,244,20,297,36
1496.jpeg,260,194,Scratch,73,69,192,119
1327.jpeg,321,157,Dent,88,35,194,77
1441.jpeg,244,206,Smashed,46,63,192,142
1455.jpeg,275,183,Dent,185,2,254,117
1455.jpeg,275,183,Dent,64,1,136,70
1455.jpeg,275,183,Scratch,101,145,129,159
1455.jpeg,275,183,Dent,112,106,222,183
1333.jpeg,314,160,Smashed,72,78,147,113
1469.jpeg,259,194,Broken-glass,75,18,150,88
1858.jpeg,268,188,Dent,58,29,185,155
1680.jpeg,269,187,Dent,27,25,164,72
1694.jpeg,259,194,Dent,54,47,159,118
1864.jpeg,259,194,Dent,144,89,225,147
1870.jpeg,276,183,Smashed,154,106,236,136
1643.jpeg,259,194,Scratch,94,64,188,190
1125.jpeg,275,183,Broken-glass,34,80,55,124
1125.jpeg,275,183,Dent,54,66,179,123
1125.jpeg,275,183,Smashed,43,121,224,158
1125.jpeg,275,183,Broken-glass,211,74,232,120
1125.jpeg,275,183,Broken-glass,63,19,212,65
1131.jpeg,259,194,Dent,146,84,235,144
1131.jpeg,259,194,Smashed,1,48,130,170
1657.jpeg,194,259,Dent,9,27,86,131
1657.jpeg,194,259,Scratch,84,61,171,95
1657.jpeg,194,259,Broken-glass,121,7,179,54
1657.jpeg,194,259,Dent,57,120,137,175
1119.jpeg,259,194,Dent,104,77,145,112
1092.jpeg,256,197,Dent,62,81,162,164
1092.jpeg,256,197,Dent,164,81,245,128
1086.jpeg,266,189,Dent,131,34,222,148
1086.jpeg,266,189,Dent,77,1,130,26
1938.jpeg,259,194,Smashed,82,83,160,136
1910.jpeg,290,174,Scratch,105,73,180,117
1904.jpeg,275,184,Scratch,117,49,172,135
1737.jpeg,1024,1024,Dent,463,634,609,798
1051.jpeg,275,184,Dent,102,81,263,159
1051.jpeg,275,184,Scratch,150,101,237,123
1051.jpeg,275,184,Scratch,96,119,122,135
1051.jpeg,275,184,Scratch,150,130,225,153
1045.jpeg,300,168,Dent,173,75,235,135
1045.jpeg,300,168,Scratch,97,108,119,118
1045.jpeg,300,168,Broken-glass,181,36,226,74
1723.jpeg,1024,1024,Dent,168,630,385,743
1723.jpeg,1024,1024,Scratch,703,489,886,557
1079.jpeg,259,194,Dent,92,115,213,190
1079.jpeg,259,194,Scratch,100,168,131,188
1079.jpeg,259,194,Smashed,69,47,228,194
1290.jpeg,389,129,Smashed,40,43,194,129
1284.jpeg,275,183,Smashed,29,69,220,147
1253.jpeg,275,183,Smashed,174,53,263,129
1535.jpeg,269,188,Broken-glass,82,68,157,93
1535.jpeg,269,188,Smashed,79,42,158,136
1521.jpeg,277,182,Broken-glass,97,47,179,100
1247.jpeg,259,194,Dent,135,27,229,100
1247.jpeg,259,194,Scratch,76,111,170,162
1247.jpeg,259,194,Scratch,180,144,211,170
1247.jpeg,259,194,Dent,35,4,121,68
1509.jpeg,274,184,Broken-glass,111,67,187,115
1508.jpeg,290,174,Scratch,21,65,73,83
1520.jpeg,259,194,Dent,26,45,79,103
1246.jpeg,259,194,Smashed,65,26,242,143
1252.jpeg,259,194,Dent,111,95,138,111
1534.jpeg,259,194,Scratch,25,69,210,141
1534.jpeg,259,194,Dent,232,31,255,62
1285.jpeg,309,163,Dent,87,16,287,160
1291.jpeg,194,259,Broken-glass,99,135,137,161
1291.jpeg,194,259,Smashed,5,88,172,197
1291.jpeg,194,259,Dent,157,108,189,124
1078.jpeg,290,173,Smashed,144,44,228,137
1078.jpeg,290,173,Dent,171,58,204,79
1078.jpeg,290,173,Smashed,14,84,84,142
1044.jpeg,363,139,Smashed,115,2,318,138
1722.jpeg,259,194,Dent,127,72,166,104
1736.jpeg,299,168,Smashed,32,13,255,143
1050.jpeg,307,164,Scratch,92,32,256,158
1905.jpeg,192,263,Broken-glass,32,57,91,96
1905.jpeg,192,263,Smashed,29,97,85,197
1911.jpeg,259,195,Dent,17,39,113,87
1087.jpeg,259,194,Dent,94,70,155,136
1087.jpeg,259,194,Dent,130,60,179,76
1087.jpeg,259,194,Scratch,137,90,160,126
1939.jpeg,259,194,Dent,153,49,245,130
1939.jpeg,259,194,Broken-glass,55,92,96,142
1093.jpeg,300,168,Scratch,224,95,241,138
1093.jpeg,300,168,Dent,120,95,171,117
1093.jpeg,300,168,Scratch,26,82,43,103
1118.jpeg,194,259,Dent,52,75,194,162
1130.jpeg,299,168,Smashed,10,47,130,136
1656.jpeg,259,194,Dent,143,60,211,152
1642.jpeg,259,194,Broken-glass,58,7,195,76
1124.jpeg,244,207,Smashed,41,95,105,166
1124.jpeg,244,207,Smashed,46,81,142,118
1871.jpeg,233,217,Dent,30,36,117,129
1865.jpeg,259,194,Smashed,84,88,166,176
1695.jpeg,259,194,Dent,88,102,170,159
1681.jpeg,269,188,Dent,122,34,254,129
1681.jpeg,269,188,Broken-glass,37,52,80,104
1859.jpeg,259,194,Dent,37,90,95,180
1468.jpeg,284,177,Scratch,48,99,70,123
1454.jpeg,259,195,Dent,18,37,190,100
1454.jpeg,259,195,Scratch,194,122,211,132
1332.jpeg,216,233,Broken-glass,10,123,45,150
1332.jpeg,216,233,Dent,24,102,131,173
1326.jpeg,259,194,Scratch,106,90,190,140
1326.jpeg,259,194,Scratch,135,39,152,55
1326.jpeg,259,194,Scratch,112,62,143,74
1440.jpeg,260,194,Scratch,39,82,166,144
1497.jpeg,266,189,Smashed,8,15,225,149
1497.jpeg,266,189,Scratch,175,46,204,87
1483.jpeg,231,218,Dent,84,147,125,188
1487.jpeg,259,194,Scratch,95,106,137,147
1487.jpeg,259,194,Dent,125,75,141,90
1493.jpeg,282,179,Smashed,87,106,143,136
1478.jpeg,259,194,Broken-glass,25,21,223,73
1444.jpeg,259,194,Dent,73,35,201,152
1322.jpeg,248,203,Dent,13,28,154,158
1336.jpeg,259,194,Scratch,120,76,183,116
1336.jpeg,259,194,Scratch,146,120,170,152
1450.jpeg,275,183,Dent,97,8,209,124
1861.jpeg,259,194,Dent,31,48,199,177
1875.jpeg,276,183,Dent,33,66,122,129
1685.jpeg,263,192,Smashed,24,39,216,155
1849.jpeg,224,224,Dent,48,93,109,134
1849.jpeg,224,224,Dent,1,80,17,112
1691.jpeg,276,182,Broken-glass,18,32,264,148
1108.jpeg,1024,1024,Broken-glass,678,184,1022,476
1108.jpeg,1024,1024,Dent,375,111,738,452
1108.jpeg,1024,1024,Dent,642,499,958,826
1108.jpeg,1024,1024,Smashed,363,69,1024,837
1120.jpeg,254,198,Scratch,162,151,201,187
1120.jpeg,254,198,Scratch,187,136,250,177
1120.jpeg,254,198,Scratch,34,41,47,52
1646.jpeg,259,194,Scratch,115,123,215,160
1652.jpeg,259,194,Smashed,20,29,210,183
1134.jpeg,300,168,Broken-glass,139,104,194,130
1134.jpeg,300,168,Broken-glass,243,83,269,105
1134.jpeg,300,168,Smashed,124,76,276,163
1915.jpeg,259,194,Dent,169,87,194,136
1901.jpeg,275,183,Broken-glass,23,8,251,172
1097.jpeg,269,188,Dent,132,76,223,134
1097.jpeg,269,188,Smashed,243,93,268,128
1097.jpeg,269,188,Dent,48,79,133,117
1097.jpeg,269,188,Scratch,190,112,203,131
1097.jpeg,269,188,Dent,77,122,136,139
1929.jpeg,259,194,Broken-glass,102,48,177,75
1083.jpeg,275,183,Scratch,67,28,126,59
1083.jpeg,275,183,Scratch,105,80,148,109
1083.jpeg,275,183,Scratch,81,109,135,125
1083.jpeg,275,183,Dent,63,31,139,95
1083.jpeg,275,183,Scratch,155,55,244,66
1068.jpeg,259,194,Broken-glass,115,63,259,194
1054.jpeg,194,259,Scratch,72,136,119,164
1054.jpeg,194,259,Smashed,57,61,191,178
1054.jpeg,194,259,Dent,13,42,91,79
1732.jpeg,1024,1024,Dent,47,224,690,839
1732.jpeg,1024,1024,Scratch,339,299,573,457
1726.jpeg,275,183,Smashed,119,69,244,171
1726.jpeg,275,183,Scratch,80,83,117,112
1040.jpeg,1024,1024,Dent,365,593,717,789
1040.jpeg,1024,1024,Dent,269,797,963,1024
1040.jpeg,1024,1024,Dent,605,370,830,602
1040.jpeg,1024,1024,Dent,132,362,361,556
1295.jpeg,260,194,Dent,172,82,211,112
1295.jpeg,260,194,Dent,192,47,203,59
1281.jpeg,259,194,Scratch,94,104,123,114
1518.jpeg,293,172,Dent,181,96,235,137
1530.jpeg,259,194,Dent,82,52,138,115
1256.jpeg,194,259,Dent,101,104,133,143
1256.jpeg,194,259,Smashed,57,95,96,108
1242.jpeg,227,222,Dent,67,76,175,138
1524.jpeg,194,259,Dent,76,33,145,119
1524.jpeg,194,259,Broken-glass,152,79,194,186
1243.jpeg,259,194,Broken-glass,166,116,194,137
1243.jpeg,259,194,Dent,37,92,110,116
1243.jpeg,259,194,Smashed,150,94,248,174
1525.jpeg,261,193,Broken-glass,100,42,254,123
1525.jpeg,261,193,Broken-glass,163,2,197,38
1531.jpeg,259,194,Dent,85,57,182,128
1257.jpeg,259,194,Broken-glass,30,45,216,146
1519.jpeg,299,168,Broken-glass,128,8,217,58
1280.jpeg,276,183,Smashed,77,37,254,170
1294.jpeg,269,188,Broken-glass,126,32,172,79
1294.jpeg,269,188,Dent,61,41,141,91
1294.jpeg,269,188,Dent,88,34,127,45
1727.jpeg,321,157,Dent,90,107,192,140
1041.jpeg,1024,1024,Dent,392,402,773,745
1055.jpeg,271,186,Smashed,61,76,185,178
1055.jpeg,271,186,Broken-glass,75,110,145,147
1733.jpeg,275,183,Smashed,114,54,236,125
1069.jpeg,259,194,Dent,156,82,206,129
1082.jpeg,259,194,Dent,80,111,176,155
1082.jpeg,259,194,Smashed,87,68,185,108
1082.jpeg,259,194,Broken-glass,77,73,137,92
1096.jpeg,259,194,Smashed,103,65,217,152
1928.jpeg,259,194,Smashed,23,31,201,167
1928.jpeg,259,194,Broken-glass,63,9,187,33
1900.jpeg,280,180,Dent,28,81,111,143
1914.jpeg,314,160,Dent,21,43,139,137
1653.jpeg,275,183,Broken-glass,93,82,155,123
1653.jpeg,275,183,Smashed,52,47,184,154
1135.jpeg,256,197,Smashed,12,30,247,124
1121.jpeg,275,183,Dent,75,82,112,111
1121.jpeg,275,183,Smashed,110,77,172,123
1121.jpeg,275,183,Broken-glass,117,64,166,73
1647.jpeg,276,183,Smashed,67,39,222,152
1109.jpeg,259,194,Dent,20,63,71,128
1109.jpeg,259,194,Dent,78,107,96,123
1109.jpeg,259,194,Scratch,189,111,203,115
1109.jpeg,259,194,Scratch,66,40,88,62
1109.jpeg,259,194,Dent,185,47,215,76
1690.jpeg,275,183,Broken-glass,97,57,149,79
1690.jpeg,275,183,Dent,31,23,183,122
1848.jpeg,259,194,Broken-glass,63,92,98,117
1848.jpeg,259,194,Smashed,52,107,106,151
1684.jpeg,259,194,Broken-glass,135,96,172,116
1684.jpeg,259,194,Dent,174,94,195,126
1874.jpeg,1024,1024,Scratch,235,517,421,601
1860.jpeg,259,194,Dent,70,67,205,182
1860.jpeg,259,194,Broken-glass,110,89,151,122
1337.jpeg,1024,1024,Dent,368,180,624,802
1451.jpeg,299,168,Broken-glass,102,22,207,65
1445.jpeg,300,168,Broken-glass,141,90,202,118
1445.jpeg,300,168,Smashed,103,68,288,151
1445.jpeg,300,168,Dent,24,29,53,87
1323.jpeg,301,168,Dent,101,71,204,128
1479.jpeg,1024,1024,Dent,286,252,672,634
1479.jpeg,1024,1024,Scratch,370,763,488,894
1492.jpeg,287,175,Smashed,29,20,211,110
1486.jpeg,259,194,Dent,71,59,235,131
1490.jpeg,269,187,Broken-glass,32,87,76,110
1490.jpeg,269,187,Scratch,78,87,102,101
1484.jpeg,259,194,Smashed,221,75,251,115
1484.jpeg,259,194,Dent,88,122,160,165
1309.jpeg,283,178,Dent,5,95,118,144
1309.jpeg,283,178,Broken-glass,18,71,109,97
1453.jpeg,249,202,Scratch,106,142,124,161
1335.jpeg,259,194,Broken-glass,124,97,171,129
1335.jpeg,259,194,Dent,92,61,166,101
1335.jpeg,259,194,Smashed,125,96,256,167
1321.jpeg,219,230,Scratch,134,163,195,223
1321.jpeg,219,230,Dent,169,68,204,86
1321.jpeg,219,230,Scratch,179,108,202,153
1321.jpeg,219,230,Scratch,128,110,165,152
1447.jpeg,259,194,Smashed,7,64,167,163
1876.jpeg,1024,1024,Broken-glass,172,345,226,429
1876.jpeg,1024,1024,Smashed,140,286,298,493
1862.jpeg,275,183,Smashed,70,54,206,123
1692.jpeg,259,194,Dent,50,38,242,141
1686.jpeg,259,194,Broken-glass,124,20,179,61
1686.jpeg,259,194,Scratch,87,120,147,150
1686.jpeg,259,194,Dent,92,146,203,171
1679.jpeg,259,194,Dent,100,46,141,113
1679.jpeg,259,194,Scratch,153,109,259,142
1137.jpeg,275,183,Dent,91,17,197,127
1651.jpeg,259,194,Smashed,13,64,116,137
1651.jpeg,259,194,Broken-glass,45,99,88,121
1889.jpeg,259,194,Broken-glass,93,39,177,78
1889.jpeg,259,194,Dent,103,101,170,143
1645.jpeg,285,177,Dent,85,124,105,145
1645.jpeg,285,177,Dent,143,120,169,133
1645.jpeg,285,177,Dent,179,90,188,101
1645.jpeg,285,177,Broken-glass,77,85,125,107
1123.jpeg,259,194,Dent,19,69,125,112
1123.jpeg,259,194,Dent,142,17,198,75
1123.jpeg,259,194,Scratch,103,87,134,133
1902.jpeg,269,188,Dent,108,38,236,83
1916.jpeg,275,183,Dent,157,81,259,159
1916.jpeg,275,183,Scratch,184,129,226,145
1080.jpeg,259,194,Dent,19,65,73,127
1094.jpeg,259,194,Broken-glass,135,76,174,123
1094.jpeg,259,194,Dent,93,72,171,167
1094.jpeg,259,194,Broken-glass,11,4,145,56
1094.jpeg,259,194,Dent,37,90,92,123
1719.jpeg,262,192,Dent,97,69,200,174
1043.jpeg,225,225,Smashed,84,85,202,171
1725.jpeg,274,184,Scratch,162,66,196,75
1731.jpeg,1024,1024,Smashed,317,473,704,706
1731.jpeg,1024,1024,Broken-glass,367,429,413,476
1731.jpeg,1024,1024,Dent,211,522,327,609
1731.jpeg,1024,1024,Dent,729,486,826,570
1057.jpeg,275,183,Smashed,63,49,241,168
1057.jpeg,275,183,Broken-glass,60,66,90,100
1057.jpeg,275,183,Broken-glass,200,68,229,101
1057.jpeg,275,183,Dent,108,47,192,98
1282.jpeg,225,225,Dent,94,78,194,111
1296.jpeg,259,194,Broken-glass,120,71,194,106
1296.jpeg,259,194,Dent,108,88,191,147
1269.jpeg,194,259,Dent,61,160,156,198
1527.jpeg,261,193,Smashed,2,31,151,173
1241.jpeg,257,196,Broken-glass,59,4,182,48
1255.jpeg,275,183,Smashed,6,59,246,163
1533.jpeg,260,194,Dent,97,39,156,150
1254.jpeg,259,194,Dent,101,77,153,127
1532.jpeg,275,183,Scratch,45,76,133,116
1532.jpeg,275,183,Dent,192,33,270,157
1532.jpeg,275,183,Dent,32,22,117,104
1526.jpeg,300,168,Dent,202,56,244,113
1526.jpeg,300,168,Smashed,44,58,170,168
1526.jpeg,300,168,Broken-glass,104,104,136,142
1240.jpeg,300,168,Dent,88,75,248,125
1268.jpeg,259,194,Dent,20,51,167,152
1297.jpeg,275,183,Smashed,132,83,237,146
1297.jpeg,275,183,Broken-glass,103,81,130,98
1283.jpeg,295,171,Smashed,116,32,164,59
1730.jpeg,1024,1024,Broken-glass,160,104,613,309
1730.jpeg,1024,1024,Dent,65,239,780,761
1730.jpeg,1024,1024,Scratch,558,350,714,730
1056.jpeg,300,168,Dent,152,75,221,104
1042.jpeg,1024,1024,Dent,311,293,548,526
1042.jpeg,1024,1024,Scratch,477,543,836,724
1042.jpeg,1024,1024,Scratch,563,804,779,926
1724.jpeg,275,183,Dent,112,69,224,118
1724.jpeg,275,183,Dent,175,143,222,175
1718.jpeg,275,183,Broken-glass,55,27,236,152
1095.jpeg,273,185,Smashed,54,34,203,151
1095.jpeg,273,185,Broken-glass,129,70,174,109
1081.jpeg,194,259,Scratch,55,71,116,129
1081.jpeg,194,259,Scratch,59,45,87,62
1081.jpeg,194,259,Scratch,49,192,149,248
1081.jpeg,194,259,Scratch,136,157,187,201
1081.jpeg,194,259,Dent,8,57,46,99
1917.jpeg,268,188,Dent,145,71,195,113
1917.jpeg,268,188,Scratch,116,116,157,135
1903.jpeg,259,194,Smashed,135,79,179,109
1644.jpeg,310,163,Dent,141,88,163,118
1644.jpeg,310,163,Broken-glass,161,88,177,103
1122.jpeg,259,194,Dent,74,34,196,148
1136.jpeg,275,183,Scratch,117,104,126,119
1888.jpeg,275,183,Smashed,72,91,218,141
1650.jpeg,259,194,Scratch,78,64,114,150
1650.jpeg,259,194,Dent,136,68,148,106
1678.jpeg,259,194,Dent,94,100,185,148
1678.jpeg,259,194,Dent,63,72,84,91
1678.jpeg,259,194,Scratch,89,82,103,93
1687.jpeg,259,194,Smashed,89,74,259,146
1687.jpeg,259,194,Broken-glass,104,87,158,119
1693.jpeg,259,194,Dent,85,78,177,155
1693.jpeg,259,194,Dent,175,24,259,78
1863.jpeg,275,183,Dent,92,16,150,101
1863.jpeg,275,183,Scratch,28,79,101,105
1863.jpeg,275,183,Broken-glass,21,49,90,78
1877.jpeg,1024,1024,Scratch,473,270,631,409
1877.jpeg,1024,1024,Scratch,417,532,632,821
1877.jpeg,1024,1024,Scratch,127,609,231,666
1320.jpeg,193,261,Dent,35,135,182,248
1446.jpeg,259,194,Dent,122,59,158,83
1452.jpeg,275,183,Dent,85,75,194,130
1452.jpeg,275,183,Broken-glass,108,37,195,84
1334.jpeg,275,183,Smashed,59,106,109,148
1308.jpeg,276,183,Broken-glass,123,44,199,76
1308.jpeg,276,183,Dent,196,97,223,150
1308.jpeg,276,183,Broken-glass,153,98,198,127
1485.jpeg,277,182,Smashed,12,36,210,117
1491.jpeg,259,194,Smashed,1,92,92,165
1488.jpeg,275,183,Scratch,135,56,147,77
1488.jpeg,275,183,Dent,118,32,149,165
1311.jpeg,275,183,Broken-glass,72,34,161,128
1311.jpeg,275,183,Broken-glass,179,26,251,99
1311.jpeg,275,183,Dent,221,97,239,126
1477.jpeg,253,199,Dent,107,84,203,132
1463.jpeg,173,291,Smashed,63,85,151,263
1305.jpeg,259,194,Dent,25,28,120,94
1305.jpeg,259,194,Scratch,160,118,193,127
1305.jpeg,259,194,Scratch,163,59,210,117
1305.jpeg,259,194,Scratch,121,82,154,109
1305.jpeg,259,194,Scratch,160,131,175,178
1339.jpeg,288,175,Broken-glass,127,104,165,130
1339.jpeg,288,175,Smashed,87,86,191,153
1852.jpeg,259,194,Broken-glass,133,95,175,119
1852.jpeg,259,194,Broken-glass,134,42,211,86
1852.jpeg,259,194,Smashed,84,54,203,157
1846.jpeg,183,275,Broken-glass,65,110,168,148
1846.jpeg,183,275,Smashed,21,84,164,222
1675.jpeg,257,196,Dent,48,91,132,165
1675.jpeg,257,196,Dent,39,33,67,64
1113.jpeg,269,187,Scratch,89,54,146,102
1113.jpeg,269,187,Scratch,151,136,180,160
1113.jpeg,269,187,Scratch,220,140,261,168
1113.jpeg,269,187,Scratch,24,43,55,78
1113.jpeg,269,187,Scratch,186,74,190,81
1113.jpeg,269,187,Dent,111,116,146,138
1107.jpeg,1024,1024,Dent,438,101,803,584
1107.jpeg,1024,1024,Smashed,23,231,785,952
1107.jpeg,1024,1024,Dent,43,31,238,192
1661.jpeg,275,183,Dent,97,32,208,99
1649.jpeg,300,168,Dent,211,118,228,140
1891.jpeg,259,194,Smashed,46,72,201,161
1885.jpeg,259,194,Broken-glass,71,63,188,105
1926.jpeg,260,194,Dent,68,49,104,117
1098.jpeg,290,174,Dent,123,59,196,88
1932.jpeg,259,194,Smashed,10,60,95,156
1701.jpeg,259,194,Dent,72,132,96,155
1701.jpeg,259,194,Scratch,100,126,115,137
1067.jpeg,260,194,Dent,58,63,172,161
1067.jpeg,260,194,Scratch,149,123,169,148
1067.jpeg,260,194,Scratch,112,85,153,113
1073.jpeg,267,189,Smashed,58,79,219,173
1073.jpeg,267,189,Smashed,192,34,252,92
1073.jpeg,267,189,Broken-glass,83,44,211,108
1715.jpeg,301,167,Broken-glass,31,10,215,135
1729.jpeg,1024,1024,Dent,196,537,560,824
1729.jpeg,1024,1024,Scratch,258,609,411,680
1265.jpeg,224,225,Smashed,20,65,136,208
1503.jpeg,225,225,Smashed,61,64,207,193
1517.jpeg,182,277,Broken-glass,113,80,175,127
1517.jpeg,182,277,Dent,48,71,68,102
1517.jpeg,182,277,Scratch,41,167,174,203
1517.jpeg,182,277,Dent,1,112,149,192
1271.jpeg,274,184,Dent,70,70,123,134
1259.jpeg,262,192,Smashed,74,128,189,179
1258.jpeg,379,133,Scratch,186,77,217,123
1258.jpeg,379,133,Scratch,219,50,282,79
1258.jpeg,379,133,Scratch,299,33,324,56
1516.jpeg,300,168,Scratch,144,42,200,98
1516.jpeg,300,168,Dent,75,22,186,114
1516.jpeg,300,168,Scratch,86,152,102,165
1516.jpeg,300,168,Scratch,6,136,37,155
1270.jpeg,260,194,Smashed,56,54,226,180
1264.jpeg,180,281,Broken-glass,113,45,147,121
1264.jpeg,180,281,Dent,7,12,150,211
1502.jpeg,275,183,Dent,144,68,209,125
1502.jpeg,275,183,Broken-glass,215,100,275,132
1728.jpeg,1024,1024,Dent,193,268,665,663
1728.jpeg,1024,1024,Scratch,158,212,886,868
1072.jpeg,194,259,Scratch,123,96,144,111
1072.jpeg,194,259,Smashed,6,84,101,123
1072.jpeg,194,259,Scratch,79,126,88,136
1714.jpeg,275,183,Scratch,51,104,178,121
1714.jpeg,275,183,Scratch,210,97,237,121
1700.jpeg,359,140,Dent,152,89,229,116
1700.jpeg,359,140,Scratch,118,86,152,93
1066.jpeg,302,167,Dent,138,84,168,108
1066.jpeg,302,167,Broken-glass,119,45,185,81
1933.jpeg,259,194,Smashed,78,17,259,163
1927.jpeg,300,168,Dent,34,13,221,142
1927.jpeg,300,168,Scratch,153,21,201,58
1099.jpeg,300,168,Scratch,77,48,219,75
1099.jpeg,300,168,Scratch,46,65,231,97
1099.jpeg,300,168,Scratch,75,96,300,137
1099.jpeg,300,168,Scratch,1,8,70,63
1884.jpeg,180,281,Dent,47,73,136,150
1884.jpeg,180,281,Scratch,34,52,62,71
1890.jpeg,275,183,Dent,116,79,151,109
1648.jpeg,260,194,Broken-glass,87,85,130,106
1648.jpeg,260,194,Smashed,9,41,142,157
1648.jpeg,260,194,Dent,186,90,202,108
1106.jpeg,284,177,Broken-glass,40,88,108,112
1106.jpeg,284,177,Smashed,27,55,156,153
1106.jpeg,284,177,Scratch,113,69,143,109
1660.jpeg,259,194,Scratch,111,92,134,163
1674.jpeg,259,194,Broken-glass,92,62,144,109
1674.jpeg,259,194,Smashed,39,48,137,157
1112.jpeg,269,187,Brocken-glass,113,65,207,129
1112.jpeg,269,187,Dent,173,39,269,173
1112.jpeg,269,187,Dent,121,127,207,181
1112.jpeg,269,187,Scratch,201,164,238,175
1112.jpeg,269,187,Dent,87,136,111,166
1847.jpeg,267,189,Scratch,132,101,152,127
1847.jpeg,267,189,Dent,104,64,146,115
1853.jpeg,259,194,Smashed,139,90,222,137
1338.jpeg,1024,1024,Dent,399,442,732,771
1462.jpeg,225,225,Broken-glass,52,96,137,162
1304.jpeg,259,194,Broken-glass,46,52,82,90
1304.jpeg,259,194,Broken-glass,195,57,242,101
1304.jpeg,259,194,Dent,60,36,195,112
1310.jpeg,275,183,Dent,148,20,199,154
1476.jpeg,1024,1024,Dent,119,391,673,889
1489.jpeg,259,194,Dent,64,78,112,136
1489.jpeg,259,194,Broken-glass,168,46,221,80
1489.jpeg,259,194,Dent,138,99,175,130
1306.jpeg,283,178,Smashed,10,80,120,143
1460.jpeg,231,219,Scratch,81,127,112,141
1474.jpeg,275,183,Scratch,109,74,231,133
1312.jpeg,192,263,Broken-glass,64,109,171,144
1312.jpeg,192,263,Scratch,155,86,188,107
1312.jpeg,192,263,Dent,21,92,191,235
1312.jpeg,192,263,Scratch,124,174,185,204
1448.jpeg,259,194,Smashed,4,34,244,149
1448.jpeg,259,194,Dent,70,37,175,63
1879.jpeg,258,195,Smashed,20,46,137,144
1845.jpeg,266,189,Scratch,151,32,178,42
1851.jpeg,259,194,Scratch,100,79,176,102
1851.jpeg,259,194,Dent,105,96,129,109
1851.jpeg,259,194,Broken-glass,33,60,53,76
1689.jpeg,260,194,Dent,106,78,179,125
1662.jpeg,276,183,Smashed,94,96,156,154
1104.jpeg,1024,1024,Broken-glass,802,614,997,729
1104.jpeg,1024,1024,Smashed,738,682,1024,926
1110.jpeg,275,183,Smashed,1,2,243,173
1676.jpeg,299,168,Dent,131,100,187,132
1676.jpeg,299,168,Scratch,111,92,230,148
1676.jpeg,299,168,Broken-glass,117,53,209,89
1676.jpeg,299,168,Scratch,151,36,207,53
1886.jpeg,275,183,Dent,92,56,161,124
1138.jpeg,298,169,Scratch,201,1,274,78
1138.jpeg,298,169,Scratch,70,91,162,148
1138.jpeg,298,169,Scratch,45,109,64,122
1892.jpeg,270,187,Smashed,17,25,242,156
1919.jpeg,275,183,Broken-glass,116,19,173,63
1931.jpeg,259,195,Dent,16,46,64,75
1931.jpeg,259,195,Scratch,28,96,56,113
1925.jpeg,284,177,Smashed,84,101,147,166
1925.jpeg,284,177,Broken-glass,109,112,146,129
1716.jpeg,179,281,Broken-glass,54,95,122,151
1716.jpeg,179,281,Dent,25,45,150,164
1716.jpeg,179,281,Scratch,61,163,131,190
1070.jpeg,276,183,Smashed,87,90,223,177
1070.jpeg,276,183,Broken-glass,132,59,217,99
1070.jpeg,276,183,Dent,22,28,145,97
1064.jpeg,263,192,Dent,119,26,182,116
1064.jpeg,263,192,Dent,139,128,205,159
1064.jpeg,263,192,Scratch,32,17,61,30
1702.jpeg,300,168,Dent,145,42,201,104
1702.jpeg,300,168,Dent,56,50,108,79
1058.jpeg,275,183,Dent,52,37,126,169
1058.jpeg,275,183,Scratch,92,142,128,183
1299.jpeg,267,189,Dent,143,17,227,82
1299.jpeg,267,189,Smashed,189,48,247,172
1272.jpeg,274,184,Dent,66,64,158,114
1514.jpeg,275,183,Dent,104,38,229,94
1500.jpeg,260,194,Dent,127,66,167,81
1266.jpeg,259,194,Smashed,1,81,244,174
1528.jpeg,275,183,Broken-glass,200,72,232,96
1528.jpeg,275,183,Dent,136,84,238,141
1528.jpeg,275,183,Dent,140,18,222,69
1529.jpeg,259,194,Dent,75,79,188,171
1501.jpeg,259,194,Dent,27,4,192,193
1501.jpeg,259,194,Broken-glass,190,1,214,38
1267.jpeg,259,194,Smashed,37,42,154,115
1273.jpeg,275,183,Smashed,55,51,182,141
1515.jpeg,260,194,Dent,88,25,143,66
1515.jpeg,260,194,Dent,75,128,138,162
